"id","val"
"N4913357773336",5.28024339256808
"N4913357773336",9.98320142971352
"N4913357773336",9.01886926591396
"N4913357773336",8.05028325063176
"N4913357773336",4.0055693925824
"N48297714243",1.25925293983892
"N48297714243",3.3024824380409
"N48297714243",7.33627381082624
"N48297714243",2.83751226845197
"N48297714243",2.49786466895603
"N2359561668792",2.4504583303351
"N2359561668792",4.18322453228757
"N2359561668792",2.24567861645482
"N12914698827",1.34715601196513
"N12914698827",7.2021399284713
"N18887992862",4.80320511804894
"N18887992862",9.73496028012596
"N18887992862",5.76368091488257
"N23933482194",4.75020631076768
"N23933482194",1.28803896647878
"N23933482194",9.4958466773387
"N52798866288",4.84038891689852
"N52798866288",1.81075738742948
"N52798866288",4.64896088535897
"N52798866288",5.7959552758839
"N52798866288",6.54579718201421
"N52798866288",2.08587430487387
"N144286151",5.45470189023763
"N144286151",5.69712571403943
"N132726424839348",7.150228287559
"N132726424839348",7.80874013016
"N3732294489563",5.31813937448896
"N3732294489563",9.78791799093597
"N3732294489563",6.76933794422075
"N3732294489563",3.6471842287574
